"";"Id";"Obs";"Group";"Group_N";"Group_ID";"pref";"rank";"lead"
"1";1;1;1;10;"1_1";1,37095844714667;8;0
"2";11;1;1;10;"1_1";1,30486965422349;7;0
"3";21;1;1;10;"1_1";-0,306638594078475;3;0
"4";31;1;1;10;"1_1";0,455450123241219;6;0
"5";41;1;1;10;"1_1";0,205998600200254;4;0
"6";51;1;1;10;"1_1";0,321925265203947;5;0
"7";61;1;1;10;"1_1";-0,367234642740975;2;0
"8";71;1;1;10;"1_1";-1,04311893856785;1;1
"9";81;1;1;10;"1_1";1,51270700980493;10;0
"10";91;1;1;10;"1_1";1,39211637593427;9;0
"11";5;1;2;10;"2_1";0,404268323140999;8;0
"12";15;1;2;10;"2_1";-0,133321336393658;6;0
"13";25;1;2;10;"2_1";1,89519346126497;10;0
"14";35;1;2;10;"2_1";0,50495512329797;9;0
"15";45;1;2;10;"2_1";-1,36828104441929;1;1
"16";55;1;2;10;"2_1";0,0897606465996057;7;0
"17";65;1;2;10;"2_1";-0,727292059474465;4;0
"18";75;1;2;10;"2_1";-0,542828814573857;5;0
"19";85;1;2;10;"2_1";-1,19432889516053;2;0
"20";95;1;2;10;"2_1";-1,1107888794479;3;0
"21";10;1;3;10;"3_1";-0,062714099052421;3;0
"22";20;1;3;10;"3_1";1,32011334573019;10;0
"23";30;1;3;10;"3_1";-0,639994875960119;2;0
"24";40;1;3;10;"3_1";0,0361226068922556;4;0
"25";50;1;3;10;"3_1";0,655647883402207;7;0
"26";60;1;3;10;"3_1";0,284882953530659;5;0
"27";70;1;3;10;"3_1";0,720878162866862;8;0
"28";80;1;3;10;"3_1";-1,09978089864786;1;1
"29";90;1;3;10;"3_1";0,821773110508249;9;0
"30";100;1;3;10;"3_1";0,65320433964919;6;0
"31";6;1;4;10;"4_1";-0,106124516091484;4;0
"32";16;1;4;10;"4_1";0,635950398070074;9;0
"33";26;1;4;10;"4_1";-0,4304691316062;3;0
"34";36;1;4;10;"4_1";-1,71700867907334;1;1
